name,official_name,capital,population,region,subregion,languages,borders,timezones,flag,map,currencies,famous_places
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Mumbai', 'detail': 'Mumbai, India has centuries of history and many sites of tourist interest.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg/500px-Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Mumbai', 'detail': 'Mumbai, India has centuries of history and many sites of tourist interest.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg/500px-Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg'}]"
South Korea,Republic of Korea,Seoul,51780579,Asia,Eastern Asia,Korean,PRK,UTC+09:00,https://flagcdn.com/w320/kr.png,https://goo.gl/maps/7ecjaJXefjAQhxjGA,South Korean won (₩),"[{'name': 'List of South Korean tourist attractions', 'detail': 'This is a list of notable tourist attractions in South Korea. The list may include temples, museums, aquariums, landmarks, sports venues, markets, shopping districts, or other notable locations popular with tourists.', 'image': ''}, {'name': 'Lists of tourist attractions', 'detail': 'The following lists of tourist attractions include tourist attractions in various countries.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Victoria_Falls_aerial_view_September_2003.jpg/500px-Victoria_Falls_aerial_view_September_2003.jpg'}, {'name': 'List of markets in South Korea', 'detail': ""Major cities in South Korea typically have several traditional markets, each with vendors selling a wide variety of goods including fruit, vegetables, meat, fish, breads, clothing, textiles, handicrafts, souvenirs, and Korean traditional medicinal items. The Korean word for market is sijang (Korean: 시장) and traditional street markets are called jaerae sijang (Korean: 재래시장) or jeontong sijang (Korean: 전통시장). The market space commonly includes permanent restaurants, pop-up restaurants and food stalls (pojangmacha, Korean: 포장마차, lit.\u2009'covered wagon') that sell traditional Korean cuisine and street food. The Small Enterprise and Market Service (Korean: 소상공인시장진흥공단; previously the Agency for Traditional Market Administration) is responsible for improving the condition of the country's traditional markets with the goal of developing them into prominent tourist attractions."", 'image': ''}]"
South Korea,Republic of Korea,Seoul,51780579,Asia,Eastern Asia,Korean,PRK,UTC+09:00,https://flagcdn.com/w320/kr.png,https://goo.gl/maps/7ecjaJXefjAQhxjGA,South Korean won (₩),"[{'name': 'List of South Korean tourist attractions', 'detail': 'This is a list of notable tourist attractions in South Korea. The list may include temples, museums, aquariums, landmarks, sports venues, markets, shopping districts, or other notable locations popular with tourists.', 'image': ''}, {'name': 'Lists of tourist attractions', 'detail': 'The following lists of tourist attractions include tourist attractions in various countries.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Victoria_Falls_aerial_view_September_2003.jpg/500px-Victoria_Falls_aerial_view_September_2003.jpg'}, {'name': 'Tourist attraction', 'detail': 'A tourist attraction is a place of interest that tourists visit, typically for its inherent or exhibited natural or cultural value, historical significance, natural or built beauty, offering leisure and amusement.\n\n', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/1_times_square_night_2013.jpg/500px-1_times_square_night_2013.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Mumbai', 'detail': 'Mumbai, India has centuries of history and many sites of tourist interest.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg/500px-Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg'}]"
